.й	sg,nom
.етӥд|гес	sg,prol,2sg,comp
.етӥд|гем	sg,prol,2sg,comp
.етӥд	sg,prol,2sg
.йытӥд|гес	sg,prol,2sg,comp
.йытӥд|гем	sg,prol,2sg,comp
.йытӥд	sg,prol,2sg
.йтӥд|гес	sg,prol,2sg,comp
.йтӥд|гем	sg,prol,2sg,comp
.йтӥд	sg,prol,2sg
.ез|гес	sg,nom,3sg,comp
.ез|гем	sg,nom,3sg,comp
.ез	sg,nom,3sg
.йыз|гес	sg,nom,3sg,comp
.йыз|гем	sg,nom,3sg,comp
.йыз	sg,nom,3sg
.езлэн|гес	sg,gen,3sg,comp
.езлэн|гем	sg,gen,3sg,comp
.езлэн	sg,gen,3sg
.йызлэн|гес	sg,gen,3sg,comp
.йызлэн|гем	sg,gen,3sg,comp
.йызлэн	sg,gen,3sg
.езлэсь|гес	sg,abl,3sg,comp
.езлэсь|гем	sg,abl,3sg,comp
.езлэсь	sg,abl,3sg
.йызлэсь|гес	sg,abl,3sg,comp
.йызлэсь|гем	sg,abl,3sg,comp
.йызлэсь	sg,abl,3sg
.езлы|гес	sg,dat,3sg,comp
.езлы|гем	sg,dat,3sg,comp
.езлы	sg,dat,3sg
.йызлы|гес	sg,dat,3sg,comp
.йызлы|гем	sg,dat,3sg,comp
.йызлы	sg,dat,3sg
.езтэк|гес	sg,car,3sg,comp
.езтэк|гем	sg,car,3sg,comp
.езтэк	sg,car,3sg
.йызтэк|гес	sg,car,3sg,comp
.йызтэк|гем	sg,car,3sg,comp
.йызтэк	sg,car,3sg
.езъя|гес	sg,adv,3sg,comp
.езъя|гем	sg,adv,3sg,comp
.езъя	sg,adv,3sg
.йызъя|гес	sg,adv,3sg,comp
.йызъя|гем	sg,adv,3sg,comp
.йызъя	sg,adv,3sg
.езлань|гес	sg,app,3sg,comp
.езлань|гем	sg,app,3sg,comp
.езлань	sg,app,3sg
.йызлань|гес	sg,app,3sg,comp
.йызлань|гем	sg,app,3sg,comp
.йызлань	sg,app,3sg
.йзэ|гес	sg,acc,3sg,comp
.йзэ|гем	sg,acc,3sg,comp
.йзэ	sg,acc,3sg
.йсэ|гес	sg,acc,3sg,comp
.йсэ|гем	sg,acc,3sg,comp
.йсэ	sg,acc,3sg
.еныз|гес	sg,ins,3sg,comp
.еныз|гем	sg,ins,3sg,comp
.еныз	sg,ins,3sg
.йыныз|гес	sg,ins,3sg,comp
.йыныз|гем	sg,ins,3sg,comp
.йыныз	sg,ins,3sg
.яз|гес	sg,loc,3sg,comp
.яз|гем	sg,loc,3sg,comp
.яз	sg,loc,3sg
.яз|гес	sg,ill,3sg,comp
.яз|гем	sg,ill,3sg,comp
.яз	sg,ill,3sg
.йысьтыз|гес	sg,el,3sg,comp
.йысьтыз|гем	sg,el,3sg,comp
.йысьтыз	sg,el,3sg
.йысеныз|гес	sg,egr,3sg,comp
.йысеныз|гем	sg,egr,3sg,comp
.йысеныз	sg,egr,3sg
.ёзяз|гес	sg,term,3sg,comp
.ёзяз|гем	sg,term,3sg,comp
.ёзяз	sg,term,3sg
.йёзяз|гес	sg,term,3sg,comp
.йёзяз|гем	sg,term,3sg,comp
.йёзяз	sg,term,3sg
.етӥз|гес	sg,prol,3sg,comp
.етӥз|гем	sg,prol,3sg,comp
