.й	sg,nom
.йёс|эзлэн|гес	pl,gen,3sg,comp
.йёс|эзлэн|гем	pl,gen,3sg,comp
.йёс|эзлэн	pl,gen,3sg
.йёс|ызлэн|гес	pl,gen,3sg,comp
.йёс|ызлэн|гем	pl,gen,3sg,comp
.йёс|ызлэн	pl,gen,3sg
.йёс|эзлэсь|гес	pl,abl,3sg,comp
.йёс|эзлэсь|гем	pl,abl,3sg,comp
.йёс|эзлэсь	pl,abl,3sg
.йёс|ызлэсь|гес	pl,abl,3sg,comp
.йёс|ызлэсь|гем	pl,abl,3sg,comp
.йёс|ызлэсь	pl,abl,3sg
.йёс|эзлы|гес	pl,dat,3sg,comp
.йёс|эзлы|гем	pl,dat,3sg,comp
.йёс|эзлы	pl,dat,3sg
.йёс|ызлы|гес	pl,dat,3sg,comp
.йёс|ызлы|гем	pl,dat,3sg,comp
.йёс|ызлы	pl,dat,3sg
.йёс|эзтэк|гес	pl,car,3sg,comp
.йёс|эзтэк|гем	pl,car,3sg,comp
.йёс|эзтэк	pl,car,3sg
.йёс|ызтэк|гес	pl,car,3sg,comp
.йёс|ызтэк|гем	pl,car,3sg,comp
.йёс|ызтэк	pl,car,3sg
.йёс|эзъя|гес	pl,adv,3sg,comp
.йёс|эзъя|гем	pl,adv,3sg,comp
.йёс|эзъя	pl,adv,3sg
.йёс|ызъя|гес	pl,adv,3sg,comp
.йёс|ызъя|гем	pl,adv,3sg,comp
.йёс|ызъя	pl,adv,3sg
.йёс|эзлань|гес	pl,app,3sg,comp
.йёс|эзлань|гем	pl,app,3sg,comp
.йёс|эзлань	pl,app,3sg
.йёс|ызлань|гес	pl,app,3sg,comp
.йёс|ызлань|гем	pl,app,3sg,comp
.йёс|ызлань	pl,app,3sg
.йёс|зэ|гес	pl,acc,3sg,comp
.йёс|зэ|гем	pl,acc,3sg,comp
.йёс|зэ	pl,acc,3sg
.йёс|сэ|гес	pl,acc,3sg,comp
.йёс|сэ|гем	pl,acc,3sg,comp
.йёс|сэ	pl,acc,3sg
.йёс|эныз|гес	pl,ins,3sg,comp
.йёс|эныз|гем	pl,ins,3sg,comp
.йёс|эныз	pl,ins,3sg
.йёс|ыныз|гес	pl,ins,3sg,comp
.йёс|ыныз|гем	pl,ins,3sg,comp
.йёс|ыныз	pl,ins,3sg
.йёс|аз|гес	pl,loc,3sg,comp
.йёс|аз|гем	pl,loc,3sg,comp
.йёс|аз	pl,loc,3sg
.йёс|аз|гес	pl,ill,3sg,comp
.йёс|аз|гем	pl,ill,3sg,comp
.йёс|аз	pl,ill,3sg
.йёс|ысьтыз|гес	pl,el,3sg,comp
.йёс|ысьтыз|гем	pl,el,3sg,comp
.йёс|ысьтыз	pl,el,3sg
.йёс|ысеныз|гес	pl,egr,3sg,comp
.йёс|ысеныз|гем	pl,egr,3sg,comp
.йёс|ысеныз	pl,egr,3sg
.йёс|озяз|гес	pl,term,3sg,comp
.йёс|озяз|гем	pl,term,3sg,comp
.йёс|озяз	pl,term,3sg
.йёс|этӥз|гес	pl,prol,3sg,comp
.йёс|этӥз|гем	pl,prol,3sg,comp
.йёс|этӥз	pl,prol,3sg
.йёс|ытӥз|гес	pl,prol,3sg,comp
.йёс|ытӥз|гем	pl,prol,3sg,comp
.йёс|ытӥз	pl,prol,3sg
.йёс|тӥз|гес	pl,prol,3sg,comp
.йёс|тӥз|гем	pl,prol,3sg,comp
.йёс|тӥз	pl,prol,3sg
.йёс|мы|гес	pl,nom,1pl,comp
.йёс|мы|гем	pl,nom,1pl,comp
.йёс|мы	pl,nom,1pl
.йёс|мылэн|гес	pl,gen,1pl,comp
.йёс|мылэн|гем	pl,gen,1pl,comp
.йёс|мылэн	pl,gen,1pl
.йёс|мылэсь|гес	pl,abl,1pl,comp
.йёс|мылэсь|гем	pl,abl,1pl,comp
.йёс|мылэсь	pl,abl,1pl
.йёс|мылы|гес	pl,dat,1pl,comp
.йёс|мылы|гем	pl,dat,1pl,comp
.йёс|мылы	pl,dat,1pl
.йёс|мытэк|гес	pl,car,1pl,comp
.йёс|мытэк|гем	pl,car,1pl,comp
.йёс|мытэк	pl,car,1pl
.йёс|мыя|гес	pl,adv,1pl,comp
.йёс|мыя|гем	pl,adv,1pl,comp
.йёс|мыя	pl,adv,1pl
.йёс|мылань|гес	pl,app,1pl,comp
.йёс|мылань|гем	pl,app,1pl,comp
.йёс|мылань	pl,app,1pl
.йёс|мес|гес	pl,acc,1pl,comp
.йёс|мес|гем	pl,acc,1pl,comp
.йёс|мес	pl,acc,1pl
.йёс|ынымы|гес	pl,ins,1pl,comp
.йёс|ынымы|гем	pl,ins,1pl,comp
.йёс|ынымы	pl,ins,1pl
.йёс|амы|гес	pl,loc,1pl,comp
.йёс|амы|гем	pl,loc,1pl,comp
.йёс|амы	pl,loc,1pl
.йёс|амы|гес	pl,ill,1pl,comp
.йёс|амы|гем	pl,ill,1pl,comp
.йёс|амы	pl,ill,1pl
.йёс|ысьтымы|гес	pl,el,1pl,comp
.йёс|ысьтымы|гем	pl,el,1pl,comp
.йёс|ысьтымы	pl,el,1pl
.йёс|ысенымы|гес	pl,egr,1pl,comp
.йёс|ысенымы|гем	pl,egr,1pl,comp
.йёс|ысенымы	pl,egr,1pl
.йёс|озямы|гес	pl,term,1pl,comp
.йёс|озямы|гем	pl,term,1pl,comp
.йёс|озямы	pl,term,1pl
.йёс|ытӥмы|гес	pl,prol,1pl,comp
.йёс|ытӥмы|гем	pl,prol,1pl,comp
.йёс|ытӥмы	pl,prol,1pl
.йёс|тӥмы|гес	pl,prol,1pl,comp
.йёс|тӥмы|гем	pl,prol,1pl,comp
.йёс|тӥмы	pl,prol,1pl
.йёс|ты|гес	pl,nom,2pl,comp
.йёс|ты|гем	pl,nom,2pl,comp
.йёс|ты	pl,nom,2pl
.йёс|ды|гес	pl,nom,2pl,comp
.йёс|ды|гем	pl,nom,2pl,comp
.йёс|ды	pl,nom,2pl
.йёс|тылэн|гес	pl,gen,2pl,comp
.йёс|тылэн|гем	pl,gen,2pl,comp
.йёс|тылэн	pl,gen,2pl
.йёс|дылэн|гес	pl,gen,2pl,comp
.йёс|дылэн|гем	pl,gen,2pl,comp
.йёс|дылэн	pl,gen,2pl
.йёс|тылэсь|гес	pl,abl,2pl,comp
.йёс|тылэсь|гем	pl,abl,2pl,comp
.йёс|тылэсь	pl,abl,2pl
.йёс|дылэсь|гес	pl,abl,2pl,comp
.йёс|дылэсь|гем	pl,abl,2pl,comp
.йёс|дылэсь	pl,abl,2pl
.йёс|тылы|гес	pl,dat,2pl,comp
.йёс|тылы|гем	pl,dat,2pl,comp
.йёс|тылы	pl,dat,2pl
.йёс|дылы|гес	pl,dat,2pl,comp
.йёс|дылы|гем	pl,dat,2pl,comp
.йёс|дылы	pl,dat,2pl
.йёс|тытэк|гес	pl,car,2pl,comp
.йёс|тытэк|гем	pl,car,2pl,comp
.йёс|тытэк	pl,car,2pl
.йёс|дытэк|гес	pl,car,2pl,comp
.йёс|дытэк|гем	pl,car,2pl,comp
.йёс|дытэк	pl,car,2pl
.йёс|тыя|гес	pl,adv,2pl,comp
.йёс|тыя|гем	pl,adv,2pl,comp
.йёс|тыя	pl,adv,2pl
.йёс|дыя|гес	pl,adv,2pl,comp
.йёс|дыя|гем	pl,adv,2pl,comp
.йёс|дыя	pl,adv,2pl
.йёс|тылань|гес	pl,app,2pl,comp
.йёс|тылань|гем	pl,app,2pl,comp
.йёс|тылань	pl,app,2pl
.йёс|дылань|гес	pl,app,2pl,comp
.йёс|дылань|гем	pl,app,2pl,comp
.йёс|дылань	pl,app,2pl
.йёс|тэс|гес	pl,acc,2pl,comp
.йёс|тэс|гем	pl,acc,2pl,comp
.йёс|тэс	pl,acc,2pl
.йёс|дэс|гес	pl,acc,2pl,comp
.йёс|дэс|гем	pl,acc,2pl,comp
.йёс|дэс	pl,acc,2pl
.йёс|ыныды|гес	pl,ins,2pl,comp
.йёс|ыныды|гем	pl,ins,2pl,comp
.йёс|ыныды	pl,ins,2pl
.йёс|ады|гес	pl,loc,2pl,comp
.йёс|ады|гем	pl,loc,2pl,comp
.йёс|ады	pl,loc,2pl
.йёс|ады|гес	pl,ill,2pl,comp
.йёс|ады|гем	pl,ill,2pl,comp
.йёс|ады	pl,ill,2pl
.йёс|ысьтыды|гес	pl,el,2pl,comp
.йёс|ысьтыды|гем	pl,el,2pl,comp
.йёс|ысьтыды	pl,el,2pl
.йёс|ысеныды|гес	pl,egr,2pl,comp
.йёс|ысеныды|гем	pl,egr,2pl,comp
.йёс|ысеныды	pl,egr,2pl
.йёс|озяды|гес	pl,term,2pl,comp
.йёс|озяды|гем	pl,term,2pl,comp
.йёс|озяды	pl,term,2pl
.йёс|ытӥды|гес	pl,prol,2pl,comp
.йёс|ытӥды|гем	pl,prol,2pl,comp
.йёс|ытӥды	pl,prol,2pl
.йёс|тӥды|гес	pl,prol,2pl,comp
.йёс|тӥды|гем	pl,prol,2pl,comp
.йёс|тӥды	pl,prol,2pl
.йёс|сы|гес	pl,nom,3pl,comp
.йёс|сы|гем	pl,nom,3pl,comp
.йёс|сы	pl,nom,3pl
.йёс|зы|гес	pl,nom,3pl,comp
.йёс|зы|гем	pl,nom,3pl,comp
.йёс|зы	pl,nom,3pl
.йёс|сылэн|гес	pl,gen,3pl,comp
.йёс|сылэн|гем	pl,gen,3pl,comp
.йёс|сылэн	pl,gen,3pl
.йёс|зылэн|гес	pl,gen,3pl,comp
.йёс|зылэн|гем	pl,gen,3pl,comp
.йёс|зылэн	pl,gen,3pl
.йёс|сылэсь|гес	pl,abl,3pl,comp
.йёс|сылэсь|гем	pl,abl,3pl,comp
.йёс|сылэсь	pl,abl,3pl
.йёс|зылэсь|гес	pl,abl,3pl,comp
.йёс|зылэсь|гем	pl,abl,3pl,comp
.йёс|зылэсь	pl,abl,3pl
.йёс|сылы|гес	pl,dat,3pl,comp
.йёс|сылы|гем	pl,dat,3pl,comp
.йёс|сылы	pl,dat,3pl
.йёс|зылы|гес	pl,dat,3pl,comp
.йёс|зылы|гем	pl,dat,3pl,comp
.йёс|зылы	pl,dat,3pl
.йёс|сытэк|гес	pl,car,3pl,comp
.йёс|сытэк|гем	pl,car,3pl,comp
.йёс|сытэк	pl,car,3pl
.йёс|зытэк|гес	pl,car,3pl,comp
.йёс|зытэк|гем	pl,car,3pl,comp
.йёс|зытэк	pl,car,3pl
.йёс|сыя|гес	pl,adv,3pl,comp
.йёс|сыя|гем	pl,adv,3pl,comp
.йёс|сыя	pl,adv,3pl
.йёс|зыя|гес	pl,adv,3pl,comp
.йёс|зыя|гем	pl,adv,3pl,comp
.йёс|зыя	pl,adv,3pl
.йёс|сылань|гес	pl,app,3pl,comp
.йёс|сылань|гем	pl,app,3pl,comp
.йёс|сылань	pl,app,3pl
.йёс|зылань|гес	pl,app,3pl,comp
.йёс|зылань|гем	pl,app,3pl,comp
.йёс|зылань	pl,app,3pl
.йёс|сэс|гес	pl,acc,3pl,comp
.йёс|сэс|гем	pl,acc,3pl,comp
.йёс|сэс	pl,acc,3pl
.йёс|зэс|гес	pl,acc,3pl,comp
.йёс|зэс|гем	pl,acc,3pl,comp
.йёс|зэс	pl,acc,3pl
.йёс|ынызы|гес	pl,ins,3pl,comp
.йёс|ынызы|гем	pl,ins,3pl,comp
.йёс|ынызы	pl,ins,3pl
.йёс|азы|гес	pl,loc,3pl,comp
.йёс|азы|гем	pl,loc,3pl,comp
.йёс|азы	pl,loc,3pl
.йёс|азы|гес	pl,ill,3pl,comp
.йёс|азы|гем	pl,ill,3pl,comp
.йёс|азы	pl,ill,3pl
.йёс|ысьтызы|гес	pl,el,3pl,comp
.йёс|ысьтызы|гем	pl,el,3pl,comp
.йёс|ысьтызы	pl,el,3pl
.йёс|ысенызы|гес	pl,egr,3pl,comp
.йёс|ысенызы|гем	pl,egr,3pl,comp
.йёс|ысенызы	pl,egr,3pl
.йёс|озязы|гес	pl,term,3pl,comp
.йёс|озязы|гем	pl,term,3pl,comp
.йёс|озязы	pl,term,3pl
.йёс|ытӥзы|гес	pl,prol,3pl,comp
.йёс|ытӥзы|гем	pl,prol,3pl,comp
.йёс|ытӥзы	pl,prol,3pl
.йёс|тӥзы|гес	pl,prol,3pl,comp
.йёс|тӥзы|гем	pl,prol,3pl,comp
.йёс|тӥзы	pl,prol,3pl
