.е|гес	nom,1sg,comp
.е|гем	nom,1sg,comp
.е	nom,1sg
.ьы|гес	nom,1sg,comp
.ьы|гем	nom,1sg,comp
.ьы	nom,1sg
.ьме|гес	acc,1sg,comp
.ьме|гем	acc,1sg,comp
.ьме	acc,1sg
.елэн|гес	gen,1sg,comp
.елэн|гем	gen,1sg,comp
.елэн	gen,1sg
.ьылэн|гес	gen,1sg,comp
.ьылэн|гем	gen,1sg,comp
.ьылэн	gen,1sg
.елэсь|гес	abl,1sg,comp
.елэсь|гем	abl,1sg,comp
.елэсь	abl,1sg
.ьылэсь|гес	abl,1sg,comp
.ьылэсь|гем	abl,1sg,comp
.ьылэсь	abl,1sg
.елы|гес	dat,1sg,comp
.елы|гем	dat,1sg,comp
.елы	dat,1sg
.ьылы|гес	dat,1sg,comp
.ьылы|гем	dat,1sg,comp
.ьылы	dat,1sg
.етэк|гес	car,1sg,comp
.етэк|гем	car,1sg,comp
.етэк	car,1sg
.ьытэк|гес	car,1sg,comp
.ьытэк|гем	car,1sg,comp
.ьытэк	car,1sg
.ея|гес	adv,1sg,comp
.ея|гем	adv,1sg,comp
.ея	adv,1sg
.ьыя|гес	adv,1sg,comp
.ьыя|гем	adv,1sg,comp
.ьыя	adv,1sg
.елань|гес	app,1sg,comp
.елань|гем	app,1sg,comp
.елань	app,1sg
.ьылэнь|гес	app,1sg,comp
.ьылэнь|гем	app,1sg,comp
.ьылэнь	app,1sg
.еным|гес	ins,1sg,comp
.еным|гем	ins,1sg,comp
.еным	ins,1sg
.ьыным|гес	ins,1sg,comp
.ьыным|гем	ins,1sg,comp
.ьыным	ins,1sg
.ям|гес	loc,1sg,comp
.ям|гем	loc,1sg,comp
.ям	loc,1sg
.ям|гес	ill,1sg,comp
.ям|гем	ill,1sg,comp
.ям	ill,1sg
.ьысьтым|гес	el,1sg,comp
.ьысьтым|гем	el,1sg,comp
.ьысьтым	el,1sg
.ьысеным|гес	egr,1sg,comp
.ьысеным|гем	egr,1sg,comp
.ьысеным	egr,1sg
.ёзям|гес	term,1sg,comp
.ёзям|гем	term,1sg,comp
.ёзям	term,1sg
.етӥм|гес	prol,1sg,comp
.етӥм|гем	prol,1sg,comp
.етӥм	prol,1sg
.ьытӥм|гес	prol,1sg,comp
.ьытӥм|гем	prol,1sg,comp
.ьытӥм	prol,1sg
.ьтӥм|гес	prol,1sg,comp
.ьтӥм|гем	prol,1sg,comp
.ьтӥм	prol,1sg
