.эз|гес	nom,3sg,comp
.эз|гем	nom,3sg,comp
.эз	nom,3sg
.ыз|гес	nom,3sg,comp
.ыз|гем	nom,3sg,comp
.ыз	nom,3sg
.ез|гес	nom,3sg,comp
.ез|гем	nom,3sg,comp
.ез	nom,3sg
.эзлэн|гес	gen,3sg,comp
.эзлэн|гем	gen,3sg,comp
.эзлэн	gen,3sg
.ызлэн|гес	gen,3sg,comp
.ызлэн|гем	gen,3sg,comp
.ызлэн	gen,3sg
.езлэн|гес	gen,3sg,comp
.езлэн|гем	gen,3sg,comp
.езлэн	gen,3sg
.эзлэсь|гес	abl,3sg,comp
.эзлэсь|гем	abl,3sg,comp
.эзлэсь	abl,3sg
.ызлэсь|гес	abl,3sg,comp
.ызлэсь|гем	abl,3sg,comp
.ызлэсь	abl,3sg
.езлэсь|гес	abl,3sg,comp
.езлэсь|гем	abl,3sg,comp
.езлэсь	abl,3sg
.эзлы|гес	dat,3sg,comp
.эзлы|гем	dat,3sg,comp
.эзлы	dat,3sg
.ызлы|гес	dat,3sg,comp
.ызлы|гем	dat,3sg,comp
.ызлы	dat,3sg
.езлы|гес	dat,3sg,comp
.езлы|гем	dat,3sg,comp
.езлы	dat,3sg
.эзтэк|гес	car,3sg,comp
.эзтэк|гем	car,3sg,comp
.эзтэк	car,3sg
.ызтэк|гес	car,3sg,comp
.ызтэк|гем	car,3sg,comp
.ызтэк	car,3sg
.езтэк|гес	car,3sg,comp
.езтэк|гем	car,3sg,comp
.езтэк	car,3sg
.эзъя|гес	adv,3sg,comp
.эзъя|гем	adv,3sg,comp
.эзъя	adv,3sg
.ызъя|гес	adv,3sg,comp
.ызъя|гем	adv,3sg,comp
.ызъя	adv,3sg
.езъя|гес	adv,3sg,comp
.езъя|гем	adv,3sg,comp
.езъя	adv,3sg
.эзлань|гес	app,3sg,comp
.эзлань|гем	app,3sg,comp
.эзлань	app,3sg
.ызлань|гес	app,3sg,comp
.ызлань|гем	app,3sg,comp
.ызлань	app,3sg
.езлань|гес	app,3sg,comp
.езлань|гем	app,3sg,comp
.езлань	app,3sg
.зэ|гес	acc,3sg,comp
.зэ|гем	acc,3sg,comp
.зэ	acc,3sg
.сэ|гес	acc,3sg,comp
.сэ|гем	acc,3sg,comp
.сэ	acc,3sg
.эныз|гес	ins,3sg,comp
.эныз|гем	ins,3sg,comp
.эныз	ins,3sg
.ыныз|гес	ins,3sg,comp
.ыныз|гем	ins,3sg,comp
.ыныз	ins,3sg
.еныз|гес	ins,3sg,comp
.еныз|гем	ins,3sg,comp
.еныз	ins,3sg
.аз|гес	loc,3sg,comp
.аз|гем	loc,3sg,comp
.аз	loc,3sg
.аз|гес	ill,3sg,comp
.аз|гем	ill,3sg,comp
.аз	ill,3sg
.яз|гес	loc,3sg,comp
.яз|гем	loc,3sg,comp
.яз	loc,3sg
.яз|гес	ill,3sg,comp
.яз|гем	ill,3sg,comp
.яз	ill,3sg
.ысьтыз|гес	el,3sg,comp
.ысьтыз|гем	el,3sg,comp
.ысьтыз	el,3sg
.ысеныз|гес	egr,3sg,comp
.ысеныз|гем	egr,3sg,comp
.ысеныз	egr,3sg
.озяз|гес	term,3sg,comp
.озяз|гем	term,3sg,comp
.озяз	term,3sg
.этӥз|гес	prol,3sg,comp
.этӥз|гем	prol,3sg,comp
.этӥз	prol,3sg
.ытӥз|гес	prol,3sg,comp
.ытӥз|гем	prol,3sg,comp
.ытӥз	prol,3sg
.тӥз|гес	prol,3sg,comp
.тӥз|гем	prol,3sg,comp
.тӥз	prol,3sg
.етӥз|гес	prol,3sg,comp
.етӥз|гем	prol,3sg,comp
.етӥз	prol,3sg
